"URI","rdf-schema#label","director_label","director","imdbId","licensee","musicComposer_label","musicComposer","network_label","network","producer_label","producer","soundRecording_label","soundRecording","type_label","type","writer_label","writer","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","rdf-schema#seeAlso_label","rdf-schema#seeAlso","owl#differentFrom_label","owl#differentFrom"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/imdbId","http://dbpedia.org/ontology/licensee","http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/ontology/network","http://dbpedia.org/ontology/network","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/soundRecording","http://dbpedia.org/ontology/soundRecording","http://dbpedia.org/ontology/type","http://dbpedia.org/ontology/type","http://dbpedia.org/ontology/writer","http://dbpedia.org/ontology/writer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2002/07/owl#differentFrom","http://www.w3.org/2002/07/owl#differentFrom"
"URI","XMLSchema#string","XMLSchema#string","Person","XMLSchema#string","XMLSchema#string","XMLSchema#string","MusicalArtist","XMLSchema#string","Broadcaster","XMLSchema#string","Agent","XMLSchema#string","Sound","XMLSchema#string","owl#Thing","XMLSchema#string","Person","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing"
"http://dbpedia.org/resource/Fullmetal_Alchemist:_Brotherhood","Fullmetal Alchemist: Brotherhood","Yasuhiro Irie","http://dbpedia.org/resource/Yasuhiro_Irie","NULL","NULL","Akira Senju","http://dbpedia.org/resource/Akira_Senju","{Japan News Network|Animax|TBS Television}","{http://dbpedia.org/resource/Japan_News_Network|http://dbpedia.org/resource/Animax|http://dbpedia.org/resource/TBS_Television}","NULL","NULL","NULL","NULL","NULL","NULL","Hiroshi Ōnogi","http://dbpedia.org/resource/Hiroshi_Ōnogi","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Fullmetal_Alchemist_(anime)","Fullmetal Alchemist (anime)","Seiji Mizushima","http://dbpedia.org/resource/Seiji_Mizushima","NULL","NULL","Michiru Ōshima","http://dbpedia.org/resource/Michiru_Ōshima","{Japan News Network|Animax}","{http://dbpedia.org/resource/Japan_News_Network|http://dbpedia.org/resource/Animax}","Masahiko Minami","http://dbpedia.org/resource/Masahiko_Minami","NULL","NULL","NULL","NULL","Shō Aikawa (screenwriter)","http://dbpedia.org/resource/Shō_Aikawa_(screenwriter)","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Steins;Gate","Steins;Gate","Takuya Satō","http://dbpedia.org/resource/Takuya_Satō","NULL","NULL","Takeshi Abo","http://dbpedia.org/resource/Takeshi_Abo","{Television Aichi Broadcasting|Sun Television|Tokyo Metropolitan Television|Chiba Television Broadcasting|Television Kanagawa|Niconico|AT-X (company)|Television Saitama}","{http://dbpedia.org/resource/Television_Aichi_Broadcasting|http://dbpedia.org/resource/Sun_Television|http://dbpedia.org/resource/Tokyo_Metropolitan_Television|http://dbpedia.org/resource/Chiba_Television_Broadcasting|http://dbpedia.org/resource/Television_Kanagawa|http://dbpedia.org/resource/Niconico|http://dbpedia.org/resource/AT-X_(company)|http://dbpedia.org/resource/Television_Saitama}","NULL","NULL","NULL","NULL","NULL","NULL","Jukki Hanada","http://dbpedia.org/resource/Jukki_Hanada","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","{Steins|Gate_0}","{http://dbpedia.org/resource/Steins|http://dbpedia.org/resource/Gate_0}","NULL","NULL"
"http://dbpedia.org/resource/Steins;Gate_0","Steins;Gate 0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Attack_on_Titan__tv_series__1","NULL","Tetsurō Araki","http://dbpedia.org/resource/Tetsurō_Araki","NULL","NULL","Hiroyuki Sawano","http://dbpedia.org/resource/Hiroyuki_Sawano","{Mainichi Broadcasting System|Television Aichi Broadcasting|Tokyo Metropolitan Television|Hokkaido Television Broadcasting|Fukuoka Broadcasting Corporation|Nippon BS Broadcasting}","{http://dbpedia.org/resource/Mainichi_Broadcasting_System|http://dbpedia.org/resource/Television_Aichi_Broadcasting|http://dbpedia.org/resource/Tokyo_Metropolitan_Television|http://dbpedia.org/resource/Hokkaido_Television_Broadcasting|http://dbpedia.org/resource/Fukuoka_Broadcasting_Corporation|http://dbpedia.org/resource/Nippon_BS_Broadcasting}","George Wada","http://dbpedia.org/resource/George_Wada","NULL","NULL","NULL","NULL","Yasuko Kobayashi","http://dbpedia.org/resource/Yasuko_Kobayashi","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Attack_on_Titan__tv_series__2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{Mainichi Broadcasting System|Tokyo Metropolitan Television|Nippon BS Broadcasting|Shizuoka Broadcasting System}","{http://dbpedia.org/resource/Mainichi_Broadcasting_System|http://dbpedia.org/resource/Tokyo_Metropolitan_Television|http://dbpedia.org/resource/Nippon_BS_Broadcasting|http://dbpedia.org/resource/Shizuoka_Broadcasting_System}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/One-Punch_Man__ova__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/One-Punch_Man__tv_series__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{TV Tokyo|Television Osaka|AT-X (company)|TVQ Kyushu Broadcasting|Kyoto Broadcasting System}","{http://dbpedia.org/resource/TV_Tokyo|http://dbpedia.org/resource/Television_Osaka|http://dbpedia.org/resource/AT-X_(company)|http://dbpedia.org/resource/TVQ_Kyushu_Broadcasting|http://dbpedia.org/resource/Kyoto_Broadcasting_System}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|Anime|work|CreativeWork|Q386724|Q1107|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Anime|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q1107|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL","NULL","NULL"
