"URI","rdf-schema#label","animator_label","animator","developer_label","developer","director_label","director","distributor_label","distributor","imdbId","language_label","language","producer_label","producer","series_label","series","status","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","owl#differentFrom_label","owl#differentFrom"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://dbpedia.org/ontology/animator","http://dbpedia.org/ontology/animator","http://dbpedia.org/ontology/developer","http://dbpedia.org/ontology/developer","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/distributor","http://dbpedia.org/ontology/distributor","http://dbpedia.org/ontology/imdbId","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/language","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/series","http://dbpedia.org/ontology/series","http://dbpedia.org/ontology/status","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#differentFrom","http://www.w3.org/2002/07/owl#differentFrom"
"URI","XMLSchema#string","XMLSchema#string","Agent","XMLSchema#string","Agent","XMLSchema#string","Person","XMLSchema#string","Organisation","XMLSchema#string","XMLSchema#string","Language","XMLSchema#string","Agent","XMLSchema#string","owl#Thing","XMLSchema#string","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Organisation","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Language","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/(Blooper)_Bunny","(Blooper) Bunny","{Dean Yeagle|Nancy Beiman|Doug_Compton|Russell_Calabrese|Frank_Gabriel|Nelson_Rhodes|Larry_Ruppel|Louis_Tate}","{http://dbpedia.org/resource/Dean_Yeagle|http://dbpedia.org/resource/Nancy_Beiman|http://dbpedia.org/resource/Doug_Compton|http://dbpedia.org/resource/Russell_Calabrese|http://dbpedia.org/resource/Frank_Gabriel|http://dbpedia.org/resource/Nelson_Rhodes|http://dbpedia.org/resource/Larry_Ruppel|http://dbpedia.org/resource/Louis_Tate}","NULL","NULL","{Greg Ford|Terry_Lennon}","{http://dbpedia.org/resource/Greg_Ford|http://dbpedia.org/resource/Terry_Lennon}","NULL","NULL","0101484","NULL","NULL","Greg Ford","http://dbpedia.org/resource/Greg_Ford","Merrie Melodies","http://dbpedia.org/resource/Merrie_Melodies","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/14_Carrot_Rabbit","14 Carrot Rabbit","{Arthur Davis (animator)|Virgil Ross|Manuel Perez (animator)}","{http://dbpedia.org/resource/Arthur_Davis_(animator)|http://dbpedia.org/resource/Virgil_Ross|http://dbpedia.org/resource/Manuel_Perez_(animator)}","NULL","NULL","Friz Freleng","http://dbpedia.org/resource/Friz_Freleng","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Looney Tunes","http://dbpedia.org/resource/Looney_Tunes","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/8_Ball_Bunny","8 Ball Bunny","{Ken Harris|Emery Hawkins|Phil Monroe|Ben Washam}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Emery_Hawkins|http://dbpedia.org/resource/Phil_Monroe|http://dbpedia.org/resource/Ben_Washam}","NULL","NULL","Chuck Jones","http://dbpedia.org/resource/Chuck_Jones","Warner Bros.","http://dbpedia.org/resource/Warner_Bros.","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Looney Tunes","http://dbpedia.org/resource/Looney_Tunes","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/A-Haunting_We_Will_Go_(1966_film)","A-Haunting We Will Go (1966 film)","{Warren Batchelder|Bob Matz|Manuel Perez (animator)|George_Grandpré}","{http://dbpedia.org/resource/Warren_Batchelder|http://dbpedia.org/resource/Bob_Matz|http://dbpedia.org/resource/Manuel_Perez_(animator)|http://dbpedia.org/resource/George_Grandpré}","NULL","NULL","Robert McKimson","http://dbpedia.org/resource/Robert_McKimson","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","{Friz Freleng|David H. DePatie}","{http://dbpedia.org/resource/Friz_Freleng|http://dbpedia.org/resource/David_H._DePatie}","{Looney Tunes|Speedy Gonzales|Witch Hazel (Looney Tunes)}","{http://dbpedia.org/resource/Looney_Tunes|http://dbpedia.org/resource/Speedy_Gonzales|http://dbpedia.org/resource/Witch_Hazel_(Looney_Tunes)}","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/A-Lad-In_His_Lamp","A-Lad-In His Lamp","{Charles McKimson|Phil DeLara|Manny Gould|John_Carey_(animator)}","{http://dbpedia.org/resource/Charles_McKimson|http://dbpedia.org/resource/Phil_DeLara|http://dbpedia.org/resource/Manny_Gould|http://dbpedia.org/resource/John_Carey_(animator)}","NULL","NULL","Robert McKimson","http://dbpedia.org/resource/Robert_McKimson","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","Edward Selzer","http://dbpedia.org/resource/Edward_Selzer","Looney Tunes","http://dbpedia.org/resource/Looney_Tunes","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/A_Barnyard_Frolic","A Barnyard Frolic","NULL","NULL","NULL","NULL","Bill Nolan (animator)","http://dbpedia.org/resource/Bill_Nolan_(animator)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Krazy Kat","http://dbpedia.org/resource/Krazy_Kat","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
"http://dbpedia.org/resource/A_Bear_for_Punishment","A Bear for Punishment","{Ken Harris|Phil Monroe|Ben Washam|Lloyd Vaughan}","{http://dbpedia.org/resource/Ken_Harris|http://dbpedia.org/resource/Phil_Monroe|http://dbpedia.org/resource/Ben_Washam|http://dbpedia.org/resource/Lloyd_Vaughan}","NULL","NULL","Chuck Jones","http://dbpedia.org/resource/Chuck_Jones","{Warner Bros.|Vitaphone}","{http://dbpedia.org/resource/Warner_Bros.|http://dbpedia.org/resource/Vitaphone}","NULL","NULL","NULL","NULL","NULL","Looney Tunes","http://dbpedia.org/resource/Looney_Tunes","NULL","{owl#Thing|hollywood cartoon|work|CreativeWork|Q386724|cartoon|Q627603}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/HollywoodCartoon|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://dbpedia.org/ontology/Cartoon|http://www.wikidata.org/entity/Q627603}","NULL","NULL"
