"property","object"
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://www.w3.org/2002/07/owl#equivalentClass","http://www.wikidata.org/entity/Q1107"
"http://www.w3.org/2000/01/rdf-schema#label","Anime"
"http://www.w3.org/2000/01/rdf-schema#label","anime"
"http://www.w3.org/2000/01/rdf-schema#label","anime"
"http://www.w3.org/2000/01/rdf-schema#label","anime"
"http://www.w3.org/2000/01/rdf-schema#label","anime"
"http://www.w3.org/2000/01/rdf-schema#label","anime"
"http://www.w3.org/2000/01/rdf-schema#label","άνιμε"
"http://www.w3.org/2000/01/rdf-schema#label","アニメ"
"http://www.w3.org/2000/01/rdf-schema#label","일본의 애니메이션"
"http://www.w3.org/2000/01/rdf-schema#comment","A style of animation originating in Japan"
"http://www.w3.org/2000/01/rdf-schema#comment","Geanimeerd Japans stripverhaal"
"http://www.w3.org/2000/01/rdf-schema#comment","Στυλ κινουμένων σχεδίων με καταγωγή την Ιαπωνία"
"http://www.w3.org/2000/01/rdf-schema#comment","Designación coa que se coñece a animación xaponesa"
"http://www.w3.org/2000/01/rdf-schema#subClassOf","http://dbpedia.org/ontology/Cartoon"
"http://www.w3.org/ns/prov#wasDerivedFrom","http://mappings.dbpedia.org/index.php/OntologyClass:Anime"
