"URI","rdf-schema#label","author_label","author","budget","cinematography_label","cinematography","director_label","director","distributor_label","distributor","editing_label","editing","firstPublicationDate","gross","illustrator_label","illustrator","imdbId","lastPublicationDate","magazine_label","magazine","musicComposer_label","musicComposer","numberOfVolumes","producer_label","producer","publisher_label","publisher","runtime","soundRecording_label","soundRecording","starring_label","starring","type_label","type","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","rdf-schema#seeAlso_label","rdf-schema#seeAlso","owl#differentFrom_label","owl#differentFrom"
"URI","http://www.w3.org/2000/01/rdf-schema#label","http://dbpedia.org/ontology/author","http://dbpedia.org/ontology/author","http://dbpedia.org/ontology/budget","http://dbpedia.org/ontology/cinematography","http://dbpedia.org/ontology/cinematography","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/director","http://dbpedia.org/ontology/distributor","http://dbpedia.org/ontology/distributor","http://dbpedia.org/ontology/editing","http://dbpedia.org/ontology/editing","http://dbpedia.org/ontology/firstPublicationDate","http://dbpedia.org/ontology/gross","http://dbpedia.org/ontology/illustrator","http://dbpedia.org/ontology/illustrator","http://dbpedia.org/ontology/imdbId","http://dbpedia.org/ontology/lastPublicationDate","http://dbpedia.org/ontology/magazine","http://dbpedia.org/ontology/magazine","http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/ontology/musicComposer","http://dbpedia.org/ontology/numberOfVolumes","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/producer","http://dbpedia.org/ontology/publisher","http://dbpedia.org/ontology/publisher","http://dbpedia.org/ontology/runtime","http://dbpedia.org/ontology/soundRecording","http://dbpedia.org/ontology/soundRecording","http://dbpedia.org/ontology/starring","http://dbpedia.org/ontology/starring","http://dbpedia.org/ontology/type","http://dbpedia.org/ontology/type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2000/01/rdf-schema#seeAlso","http://www.w3.org/2002/07/owl#differentFrom","http://www.w3.org/2002/07/owl#differentFrom"
"URI","XMLSchema#string","XMLSchema#string","Person","XMLSchema#double","XMLSchema#string","Person","XMLSchema#string","Person","XMLSchema#string","Organisation","XMLSchema#string","Person","XMLSchema#date","XMLSchema#double","XMLSchema#string","Person","XMLSchema#string","XMLSchema#date","XMLSchema#string","Magazine","XMLSchema#string","MusicalArtist","XMLSchema#nonNegativeInteger","XMLSchema#string","Agent","XMLSchema#string","Agent","XMLSchema#double","XMLSchema#string","Sound","XMLSchema#string","Actor","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing","XMLSchema#string","owl#Thing"
"http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Organisation","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Person","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2001/XMLSchema#date","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Magazine","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/MusicalArtist","http://www.w3.org/2001/XMLSchema#nonNegativeInteger","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Agent","http://www.w3.org/2001/XMLSchema#double","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Sound","http://www.w3.org/2001/XMLSchema#string","http://dbpedia.org/ontology/Actor","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing","http://www.w3.org/2001/XMLSchema#string","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/+Anima","+Anima","Natsumi Mukai","http://dbpedia.org/resource/Natsumi_Mukai","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005-03-26","Dengeki Comic Gao!","http://dbpedia.org/resource/Dengeki_Comic_Gao!","NULL","NULL","10","NULL","NULL","MediaWorks (publisher)","http://dbpedia.org/resource/MediaWorks_(publisher)","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/+Tic_Elder_Sister","+Tic Elder Sister","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Gangan Comics","http://dbpedia.org/resource/Gangan_Comics","NULL","NULL","8","NULL","NULL","Square Enix","http://dbpedia.org/resource/Square_Enix","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/...But,_I'm_Your_Teacher","...But I'm Your Teacher","Row_Takakura","http://dbpedia.org/resource/Row_Takakura","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Libre Publishing","http://dbpedia.org/resource/Libre_Publishing","NULL","NULL","1","NULL","NULL","{Libre Publishing|Enterbrain}","{http://dbpedia.org/resource/Libre_Publishing|http://dbpedia.org/resource/Enterbrain}","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/.hack//Legend_of_the_Twilight",".hack//Legend of the Twilight","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2002-07-30","NULL","Rei Izumi","http://dbpedia.org/resource/Rei_Izumi","NULL","2004-04-03","Comptiq","http://dbpedia.org/resource/Comptiq","NULL","NULL","3","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","List of .hack characters","http://dbpedia.org/resource/List_of_.hack_characters","NULL","NULL"
"http://dbpedia.org/resource/.hack//Link",".hack//Link","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2007-10-26","NULL","NULL","NULL","NULL","2010-02-26","Kerokero Ace","http://dbpedia.org/resource/Kerokero_Ace","NULL","NULL","3","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","List of .hack characters","http://dbpedia.org/resource/List_of_.hack_characters","NULL","NULL"
"http://dbpedia.org/resource/.hack//Quantum__Manga__1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Monthly Comp Ace","http://dbpedia.org/resource/Monthly_Comp_Ace","NULL","NULL","1","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/.hack//Quantum__Manga__2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{1|3}","NULL","NULL","Bandai Visual","http://dbpedia.org/resource/Bandai_Visual","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/009-1","009-1","Shotaro Ishinomori","http://dbpedia.org/resource/Shotaro_Ishinomori","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1967-08-10","NULL","NULL","NULL","NULL","1974-11-14","Manga Action","http://dbpedia.org/resource/Manga_Action","NULL","NULL","6","NULL","NULL","Futabasha","http://dbpedia.org/resource/Futabasha","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/07-Ghost","07-Ghost","{Yuki Amemiya|Yukino_Ichihara}","{http://dbpedia.org/resource/Yuki_Amemiya|http://dbpedia.org/resource/Yukino_Ichihara}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2005-11-25","NULL","NULL","NULL","NULL","2014-01-11","Monthly Comic Zero Sum","http://dbpedia.org/resource/Monthly_Comic_Zero_Sum","NULL","NULL","17","NULL","NULL","Ichijinsha","http://dbpedia.org/resource/Ichijinsha","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/1+2=Paradise","1+2=Paradise","Sumiko_Kamimura","http://dbpedia.org/resource/Sumiko_Kamimura","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Monthly Shōnen Magazine","http://dbpedia.org/resource/Monthly_Shōnen_Magazine","NULL","NULL","5","NULL","NULL","{Kodansha|Shobunkan}","{http://dbpedia.org/resource/Kodansha|http://dbpedia.org/resource/Shobunkan}","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/1001_Knights","1001 Knights","Yukiru Sugisaki","http://dbpedia.org/resource/Yukiru_Sugisaki","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Monthly Asuka","http://dbpedia.org/resource/Monthly_Asuka","NULL","NULL","7","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/11eyes:_Tsumi_to_Batsu_to_Aganai_no_Shōjo","11eyes: Tsumi to Batsu to Aganai no Shōjo","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2009-08-29","NULL","NULL","NULL","NULL","2010-09-25","Monthly Comp Ace","http://dbpedia.org/resource/Monthly_Comp_Ace","NULL","NULL","3","NULL","NULL","Kadokawa Shoten","http://dbpedia.org/resource/Kadokawa_Shoten","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/12_Beast","12 Beast","Okayado","http://dbpedia.org/resource/Okayado","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2013-11-09","NULL","NULL","NULL","NULL","NULL","Monthly Dragon Age","http://dbpedia.org/resource/Monthly_Dragon_Age","NULL","NULL","3","NULL","NULL","Fujimi Shobo","http://dbpedia.org/resource/Fujimi_Shobo","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/2001_Nights","2001 Nights","Yukinobu Hoshino","http://dbpedia.org/resource/Yukinobu_Hoshino","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Monthly_Super_Action","http://dbpedia.org/resource/Monthly_Super_Action","NULL","NULL","3","NULL","NULL","Futabasha","http://dbpedia.org/resource/Futabasha","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/20th_Century_Boys","20th Century Boys","Naoki Urasawa","http://dbpedia.org/resource/Naoki_Urasawa","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2007-01-19","NULL","NULL","NULL","NULL","NULL","Big Comic Spirits","http://dbpedia.org/resource/Big_Comic_Spirits","NULL","NULL","{2|22}","NULL","NULL","Shogakukan","http://dbpedia.org/resource/Shogakukan","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/21-Two_One-","21-Two One-","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2002-01-01","NULL","Aoi Nishimata","http://dbpedia.org/resource/Aoi_Nishimata","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Light novel","http://dbpedia.org/resource/Light_novel","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/30-sai_no_Hoken_Taiiku","30-sai no Hoken Taiiku","Rikako_Inomoto","http://dbpedia.org/resource/Rikako_Inomoto","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Comic Rex","http://dbpedia.org/resource/Comic_Rex","NULL","NULL","{1|4}","NULL","NULL","Ichijinsha","http://dbpedia.org/resource/Ichijinsha","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/37.5°C_no_Namida","37.5°C no Namida","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Cheese!","http://dbpedia.org/resource/Cheese!","NULL","NULL","3","NULL","NULL","Shogakukan","http://dbpedia.org/resource/Shogakukan","NULL","NULL","NULL","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/3×3_Eyes","3×3 Eyes","Yuzo Takada","http://dbpedia.org/resource/Yuzo_Takada","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Weekly Young Magazine","http://dbpedia.org/resource/Weekly_Young_Magazine","NULL","NULL","40","NULL","NULL","Kodansha","http://dbpedia.org/resource/Kodansha","NULL","3×3_Eyes__1","http://dbpedia.org/resource/3×3_Eyes__1","NULL","NULL","Manga","http://dbpedia.org/resource/Manga","{owl#Thing|comic|manga|written work|work|CreativeWork|Q386724|Q245068|Q8274}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Comic|http://dbpedia.org/ontology/Manga|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Work|http://schema.org/CreativeWork|http://www.wikidata.org/entity/Q386724|http://www.wikidata.org/entity/Q245068|http://www.wikidata.org/entity/Q8274}","NULL","NULL","NULL","NULL"
