rdf-schema#label,author_label,firstPublicationDate,lastPublicationDate,magazine_label,numberOfVolumes,publisher_label
http://www.w3.org/2000/01/rdf-schema#label,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/firstPublicationDate,http://dbpedia.org/ontology/lastPublicationDate,http://dbpedia.org/ontology/magazine,http://dbpedia.org/ontology/numberOfVolumes,http://dbpedia.org/ontology/publisher
XMLSchema#string,XMLSchema#string,XMLSchema#date,XMLSchema#date,XMLSchema#string,XMLSchema#nonNegativeInteger,XMLSchema#string
http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#date,http://www.w3.org/2001/XMLSchema#date,http://www.w3.org/2001/XMLSchema#string,http://www.w3.org/2001/XMLSchema#nonNegativeInteger,http://www.w3.org/2001/XMLSchema#string
+Anima,Natsumi Mukai,NULL,2005-03-26,Dengeki Comic Gao!,10,MediaWorks (publisher)
+Tic Elder Sister,NULL,NULL,NULL,Gangan Comics,8,Square Enix
...But I'm Your Teacher,Row_Takakura,NULL,NULL,Libre Publishing,1,{Libre Publishing|Enterbrain}
.hack//Legend of the Twilight,NULL,2002-07-30,2004-04-03,Comptiq,3,Kadokawa Shoten
.hack//Link,NULL,2007-10-26,2010-02-26,Kerokero Ace,3,Kadokawa Shoten
NULL,NULL,NULL,NULL,Monthly Comp Ace,1,Kadokawa Shoten
NULL,NULL,NULL,NULL,NULL,{1|3},Bandai Visual
009-1,Shotaro Ishinomori,1967-08-10,1974-11-14,Manga Action,6,Futabasha
07-Ghost,{Yuki Amemiya|Yukino_Ichihara},2005-11-25,2014-01-11,Monthly Comic Zero Sum,17,Ichijinsha
1+2=Paradise,Sumiko_Kamimura,NULL,NULL,Monthly Shōnen Magazine,5,{Kodansha|Shobunkan}
1001 Knights,Yukiru Sugisaki,NULL,NULL,Monthly Asuka,7,Kadokawa Shoten
11eyes: Tsumi to Batsu to Aganai no Shōjo,NULL,2009-08-29,2010-09-25,Monthly Comp Ace,3,Kadokawa Shoten
12 Beast,Okayado,2013-11-09,NULL,Monthly Dragon Age,3,Fujimi Shobo
2001 Nights,Yukinobu Hoshino,NULL,NULL,Monthly_Super_Action,3,Futabasha
20th Century Boys,Naoki Urasawa,2007-01-19,NULL,Big Comic Spirits,{2|22},Shogakukan
21-Two One-,NULL,2002-01-01,NULL,NULL,NULL,NULL
30-sai no Hoken Taiiku,Rikako_Inomoto,NULL,NULL,Comic Rex,{1|4},Ichijinsha
37.5°C no Namida,NULL,NULL,NULL,Cheese!,3,Shogakukan
3×3 Eyes,Yuzo Takada,NULL,NULL,Weekly Young Magazine,40,Kodansha
51 Ways to Save Her,Usamaru Furuya,2006-05-26,2007-08-17,Weekly Comic Bunch,5,Shinchosha
NULL,Makoto Shinkai,NULL,NULL,Monthly Afternoon,2,Kodansha
