id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,mechanics,dust,play_requirements,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,entourage
KARA_00_07,MAGE,SPELL,Astral Portal,KARA,Summon a random <b>Legendary</b> minion.,1,,,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
NEW1_008a,DRUID,SPELL,Ancient Teachings,EXPERT1,Draw a card.,0,,,,,,,,,,,,,,,
BRM_010t2,DRUID,MINION,Druid of the Flame,BRM,,3,2,5,COMMON,,,,"[40, 400, 5, 50]",,BEAST,,,,,,
AT_132,NEUTRAL,MINION,Justicar Trueheart,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,6,6,3,LEGENDARY,True,It's like putting racing stripes and a giant spoiler on your hero power.,['BATTLECRY'],"[1600, 3200, 400, 1600]",,,,,,,,
OG_141,NEUTRAL,MINION,Faceless Behemoth,OG,,10,10,10,COMMON,True,"Rejected names: Forty-Foot Faceless, Big ol' No-face, Huge Creature Sans Face, Teddy.",,"[40, 400, 5, 50]",,,,,,,,
CRED_17,NEUTRAL,MINION,Rob Pardo,CREDITS,You can't start a game without this minion in your deck.,9,9,9,LEGENDARY,,,,,,,,,,,,
OG_337e,NEUTRAL,ENCHANTMENT,Eve of Destruction,OG,Stats increased.,,,,,,,,,,,,,,,,
BRMA08_1H,NEUTRAL,HERO,General Drakkisath,BRM,,,,50,,,,,,,,,,,,,
GVG_011a,NEUTRAL,ENCHANTMENT,Shrink Ray,GVG,-2 Attack this turn.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
NAX8_02H_TB,NEUTRAL,HERO_POWER,Harvest,TB,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",2,,,,,,,,,,,,,,,
AT_131,NEUTRAL,MINION,Eydis Darkbane,TGT,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",3,3,4,LEGENDARY,True,"HATES being called ""the wonder twins"".",,"[1600, 3200, 400, 1600]",,,,,,,,
CS2_122e,NEUTRAL,ENCHANTMENT,Enhanced,CORE,Raid Leader is granting this minion +1 Attack.,,,,,,,,,,,,,,,,
LOEA05_02ha,NEUTRAL,HERO_POWER,Trogg Hate Minions!,LOE,"<b>Passive Hero Power</b>
 Enemy minions cost (11). Swap at the start of your turn.",0,,,,,,,,,,,,,,,
CS2_102_H1_AT_132,WARRIOR,HERO_POWER,Tank Up!,HERO_SKINS,"<b>Hero Power</b>
Gain 4 Armor.",2,,,,,,,,,,,,,,,
CFM_334e,NEUTRAL,ENCHANTMENT,Smuggling,GANGS,+2/+2 from Smuggler's Crate.,,,,,,,,,,,,,,,,
EX1_583,NEUTRAL,MINION,Priestess of Elune,EXPERT1,<b>Battlecry:</b> Restore 4 Health to your hero.,6,5,4,COMMON,True,"If she threatens to ""moon"" you, it's not what you think.",['BATTLECRY'],"[40, 400, 5, 50]",,,,,,,,
TB_PickYourFate_11rand,NEUTRAL,SPELL,Dire Fate: Murlocs,TB,Turn each minion in play into a 1/1 Murloc.,0,,,,,,,,,,,,,,,
LOE_007t,WARLOCK,SPELL,Cursed!,LOE,"While this is in your hand, take 2 damage at the start of your turn.",2,,,,,,"['EVIL_GLOW', 'ImmuneToSpellpower']",,,,,,,,,
CFM_095,NEUTRAL,MINION,Weasel Tunneler,GANGS,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,1,1,1,EPIC,True,He's the reason the First Bank of Gadgetzan has steel floors.,['DEATHRATTLE'],"[400, 1600, 100, 400]",,BEAST,,,,,,
BRM_018,PALADIN,MINION,Dragon Consort,BRM,<b>Battlecry:</b> The next Dragon you play costs (2) less.,5,5,5,RARE,True,Everybody wants someone to snuggle with. Even giant armored scaly draconic beasts of destruction.,['BATTLECRY'],"[100, 800, 20, 100]",,DRAGON,"Unlocked in Blackrock Spire, in the Blackrock Mountain adventure.","Crafting unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",,,,
PRO_001a,NEUTRAL,SPELL,I Am Murloc,PROMO,"Summon three, four, or five 1/1 Murlocs.",4,,,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
BRMA10_5H,NEUTRAL,MINION,Chromatic Drake,BRM,,4,7,7,,,,,,,DRAGON,,,,,,
BRMA11_1,NEUTRAL,HERO,Vaelastrasz the Corrupt,BRM,,,,30,,,,,,,,,,,,,
OG_027,SHAMAN,SPELL,Evolve,OG,Transform your minions into random minions that cost (1) more.,1,,,RARE,True,"So you say you want an evolution. Well, you know. We all want to change the board.",,"[100, 800, 20, 100]",,,,,,,,
NAX1_01,NEUTRAL,HERO,Anub'Rekhan,NAXX,,,,30,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
GVG_030,DRUID,MINION,Anodized Robo Cub,GVG,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",2,2,2,COMMON,True,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,"['CHOOSE_ONE', 'TAUNT']","[40, 400, 5, 50]",,MECHANICAL,,,,,,
CFM_094,WARLOCK,SPELL,Felfire Potion,GANGS,Deal 5 damage to all characters.,6,,,RARE,True,Kazakus has a squad of imps bottling Felfire round-the-clock and he *still* can't keep up with demand.,,"[100, 800, 20, 100]",,,,,,,,
DS1h_292_H1,HUNTER,HERO_POWER,Steady Shot,HERO_SKINS,"<b>Hero Power</b>
Deal 2 damage to the enemy hero.",2,,,FREE,,,,,"{'REQ_STEADY_SHOT': 0, 'REQ_MINION_OR_ENEMY_HERO': 0}",,,,,,,
CS2_227,NEUTRAL,MINION,Venture Co. Mercenary,EXPERT1,Your minions cost (3) more.,5,7,6,COMMON,True,No Job is too big.  No fee is too big.,['AURA'],"[40, 400, 5, 50]",,,,,,HORDE,,
KAR_062,NEUTRAL,MINION,Netherspite Historian,KARA,"<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b>
a Dragon.",2,1,3,COMMON,True,She can tell you all about the history of people not STANDING IN THE GREEN BEAM!,['BATTLECRY'],"[40, 400, 5, 50]",,,"Unlocked in the Spire, in One Night in Karazhan.","Crafting unlocked in the Spire, in One Night in Karazhan.",,,,
CFM_712_t17,NEUTRAL,MINION,Jade Golem,GANGS,,10,17,17,,,,['JADE_GOLEM'],,,,,,,,,
KAR_076,MAGE,SPELL,Firelands Portal,KARA,"Deal 5 damage. Summon a random
5-Cost minion.",7,,,COMMON,True,"Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",,"[40, 400, 5, 50]",{'REQ_TARGET_TO_PLAY': 0},,"Unlocked in the Prologue, in One Night in Karazhan.","Crafting unlocked in the Prologue, in One Night in Karazhan.",,,,
BRM_011t,SHAMAN,ENCHANTMENT,Lava Shock,BRM,Cards you play this turn don't cause <b>Overload</b>.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
AT_024,WARLOCK,SPELL,Demonfuse,TGT,Give a Demon +3/+3. Give your opponent a Mana Crystal.,2,,,COMMON,True,Very dangerous when attached to a demonbomb.,,"[40, 400, 5, 50]","{'REQ_TARGET_TO_PLAY': 0, 'REQ_TARGET_WITH_RACE': 15, 'REQ_MINION_TARGET': 0}",,,,,,,
BRMA06_2,NEUTRAL,HERO_POWER,The Majordomo,BRM,"<b>Hero Power</b>
Summon a 1/3 Flamewaker Acolyte.",2,,,,,,,,{'REQ_NUM_MINION_SLOTS': 1},,,,,,,
OG_024,SHAMAN,MINION,Flamewreathed Faceless,OG,<b>Overload:</b> (2),4,7,7,COMMON,True,He's on fire! Boomshakalaka!,,"[40, 400, 5, 50]",,,,,,,,
NAX5_02,NEUTRAL,HERO_POWER,Eruption,NAXX,"<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.",1,,,,,,,,{'REQ_MINIMUM_ENEMY_MINIONS': 1},,,,,,,
BRMA05_2,NEUTRAL,HERO_POWER,Ignite Mana,BRM,"<b>Hero Power</b>
Deal 5 damage to the enemy hero if they have any unspent Mana.",0,,,,,,,,,,,,,,,
BRMA10_3H,NEUTRAL,HERO_POWER,The Rookery,BRM,"<b>Hero Power</b>
Give all Corrupted Eggs +1 Health, then summon one.",0,,,,,,['AI_MUST_PLAY'],,,,,,,,,
KAR_710m,NEUTRAL,MINION,Animated Shield,KARA,<b>Taunt</b>,2,0,5,,,,['TAUNT'],,,,,,,,,
BRM_004e,NEUTRAL,ENCHANTMENT,Twilight Endurance,BRM,Increased Health.,,,,,,,,,,,,,,,,
OG_080c,ROGUE,SPELL,Bloodthistle Toxin,OG,"Return a friendly minion to your hand.
It costs (2) less.",1,,,,,,,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,,,,,,
CS2_039,SHAMAN,SPELL,Windfury,CORE,Give a minion <b>Windfury</b>.,2,,,FREE,True,"Windfury is like Earthfury and Firefury, but more light and airy.",,,"{'REQ_TARGET_TO_PLAY': 0, 'REQ_MINION_TARGET': 0}",,Unlocked at Level 1.,Unlocked at Level 23.,,,,
EX1_295o,MAGE,ENCHANTMENT,Ice Block,EXPERT1,Your hero is <b>Immune</b> this turn.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
OG_158,NEUTRAL,MINION,Zealous Initiate,OG,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,1,1,1,COMMON,True,"Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.",['DEATHRATTLE'],"[40, 400, 5, 50]",,,,,,,,
LOE_110t,NEUTRAL,SPELL,Ancient Curse,LOE,"When you draw this, take 7 damage and draw a card.",0,,,,,,"['TOPDECK', 'ImmuneToSpellpower']",,,,,,,,,
BRMA13_4H,NEUTRAL,HERO_POWER,Wild Magic,BRM,"<b>Hero Power</b>
Put a random spell from your opponent's class into your hand.",1,,,,,,['AI_MUST_PLAY'],,,,,,,,,
LOEA08_01,NEUTRAL,HERO,Archaedas,LOE,,,,30,,,,,,,,,,,,,
KAR_A10_22,NEUTRAL,HERO_POWER,Castle,KARA,"<b>Hero Power</b>
<b>Discover</b> a chess piece.",2,,,,,,,,,,,,,,,"['KAR_A10_09', 'KAR_A10_02', 'KAR_A10_08', 'KAR_A10_04', 'KAR_A10_05']"
OG_211,HUNTER,SPELL,Call of the Wild,OG,Summon all three Animal Companions.,9,,,EPIC,True,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",,"[400, 1600, 100, 400]",,,,,,,,
EX1_382e,PALADIN,ENCHANTMENT,Stand Down!,EXPERT1,Attack changed to 1.,,,,,,,,,,,,,,,,
EX1_145o,ROGUE,ENCHANTMENT,Preparation,EXPERT1,The next spell you cast this turn costs (3) less.,,,,,,,['TAG_ONE_TURN_EFFECT'],,,,,,,,,
NAX15_01H,NEUTRAL,HERO,Kel'Thuzad,NAXX,,,,45,,,,,,,,,,,,,
TU4a_006,MAGE,HERO,Jaina Proudmoore,MISSIONS,,,,30,COMMON,,,,,,,,,,,,
TB_KaraPortal_002,NEUTRAL,SPELL,Call Mediva,TB,Summon a random Mediva,2,,,FREE,,,,,{'REQ_MINION_TARGET': 0},,,,,,,
LOEA05_01h,NEUTRAL,HERO,Chieftain Scarvash,LOE,,,,30,,,,,,,,,,,,,
